ActorGen Time,ClueGen Time,ContextGen Time,Total
17.511,0.000,0.000,0.000
22.496,9.490,14.892,46.878
12.917,4.085,8.670,25.672
22.700,8.927,8.208,39.835
23.097,6.856,18.576,48.530
21.959,8.594,8.987,39.540
23.594,5.709,22.158,51.461
37.953,5.115,9.589,52.658
23.260,7.219,24.167,54.645
13.198,0.000,0.000,0.000
18.249,6.830,8.390,33.469
15.275,5.044,7.968,28.286
